PMID,Title,Abstract,Journal,Year,Methods,Study Type
39168589,Assisted dying for mental illness: a contemporary concern that requires careful and compassionate consideration.,"With assisted dying becoming increasingly available to people suffering from somatic diseases, the question arises whether those suffering from mental illnesses should also have access. At the heart of this difficult and complex matter are values such as equality and parity of esteem. These issues require humane deliberation.",The British journal of psychiatry : the journal of mental science,2024,Unclassified,Theoretical
39167528,The Impact of Legalizing Medical Aid in Dying on Patient Trust: A Randomized Controlled Survey Study.,,Journal of palliative medicine,2024,"Survey, Experimental",Theoretical
39160544,Non-invasive technology to assess hydration status in advanced cancer to explore relationships between fluid status and symptoms: an observational study using bioelectrical impedance analysis.,"Oral fluid intake decreases in advanced cancer in the dying phase of illness. There is inadequate evidence to support the assessment, and management, of hydration in the dying. Bioelectrical impedance analysis (BIA) is a body composition assessment tool. BIA has the potential to inform clinal management in advanced cancer, by examining the relationships between hydration status and clinical variables.",BMC palliative care,2024,Observational,Empirical
39157533,Readiness of nurses when faced with a patient's death.,"The death of a patient negatively affects the professional dimension of nurses' functioning and also their private lives, where professional experiences and emotions are often transmitted.",Frontiers in public health,2024,Unclassified,Theoretical
39157418,'There is no such word as palliative care for us at the moment': A mixed-method study exploring the perceptions of healthcare professionals on the need for palliative care in Bhutan.,"The need for palliative care is ever-increasing globally. However, it is least developed or not available in most low-and-middle-income-countries including Bhutan.",Palliative care and social practice,2024,Unclassified,Theoretical
39152645,The double awareness of the wish to hasten death and the will to live: A secondary analysis of outlier patients from a mixed-methods study.,"Patients with serious illness frequently report (temporary) wishes to hasten death. Even until the end-of-life, many patients also harbor a will to live. Although both phenomena are negatively correlated according to some studies, they can also co-exist. Knowledge about the complex relationship between the seemingly opposing wish to hasten death and will to live is limited, but crucial for delivering adequate care and understanding potential requests for assisted dying.",Palliative medicine,2024,Unclassified,Empirical
39144136,Management of Infections in Palliative Care Patients at the End-of-Life and Active Process of Death: A Brazilian Retrospective Study.,"There is a lack of specific studies on the management of infections in patients receiving palliative care (PC) in the final stages of life and during the active process of death, related to specific nursing care. There is clinical and social importance as patients in PC represent a vulnerable population, and adequate management of infections is crucial to improve quality of life and the experience of comfort.",Palliative medicine reports,2024,Unclassified,Theoretical
39143961,Assisted death in eating disorders: a systematic review of cases and clinical rationales.,"Assisted dying for reasons solely related to an eating disorder (ED) has occurred in multiple countries, including those which restrict the practice to individuals with a terminal condition. The aims of this systematic review were to (1) identify all known cases of assisted deaths among patients with EDs and (2) describe the clinical rationales used to grant patients' requests for assisted death.",Frontiers in psychiatry,2024,Review,Theoretical
39126283,"Maybe for unbearable suffering: Diverse racial, ethnic and cultural perspectives of assisted dying. A scoping review.","Assisted dying, also commonly known as euthanasia and physician-assisted suicide, is legal in many countries. Interest in assisted dying is growing due to evolving societal understandings of a good death and a desire for choice. Ethico-legal perspectives are well-known, but as societies become more heterogenous, a greater understanding of the perspectives of people from diverse racial, ethnic, and cultural backgrounds is needed.",Palliative medicine,2024,Unclassified,Theoretical
39122437,Integration of medical assistance in dying into family practice.,,Canadian family physician Medecin de famille canadien,2024,Unclassified,Theoretical
39122386,Palliative care needs and utilisation of specialist services for people diagnosed with motor neuron disease: a national population-based study.,"There is a growing emphasis on the importance of the availability of specialist palliative care for people with motor neuron disease (MND). However, the palliative care needs of this population and the utilisation of different specialist services remain poorly defined.",BMJ open,2024,Unclassified,Theoretical
